"city","method","threshold","auc","n_events","n_total"
"Amsterdam","EMOS",25,0.972425378675393,28,3876
"Amsterdam","QR",25,0.976007944757952,28,3876
"Amsterdam","RF",25,0.977066008316015,28,3876
"Amsterdam","RAW",25,0.96343844396964,28,3906
"Rotterdam","EMOS",25,0.954358913581053,133,3876
"Rotterdam","QR",25,0.953039156801975,133,3876
"Rotterdam","RF",25,0.967102501109862,133,3876
"Rotterdam","RAW",25,0.893297051268512,133,3906
