"city","method","n","RMSE_vs_WOW","MAE_vs_WOW","Bias_vs_WOW","CRPS_vs_WOW","CRPS_improvement","RMSE_improvement","CRPS_improvement_pct","RMSE_improvement_pct"
"Amsterdam","EMOS",3876,1.718,1.182,-0.054,0.857,0.784,0.645,47.775746496039,27.2958104104951
"Amsterdam","QR",3876,1.764,1.211,-0.027,0.883,0.758,0.599,46.1913467397928,25.3491324587389
"Amsterdam","RAW",3906,2.363,1.852,-1.465,1.641,0,0,0,0
"Amsterdam","RF",3876,1.641,1.195,0.017,0.867,0.774,0.722,47.1663619744059,30.5543800253915
"Rotterdam","EMOS",3876,2.291,1.652,-0.068,1.185,1.769,1.645,59.8849018280298,41.7936991869919
"Rotterdam","QR",3876,2.351,1.685,-0.032,1.222,1.732,1.585,58.6323628977657,40.2693089430894
"Rotterdam","RAW",3906,3.936,3.204,-2.865,2.954,0,0,0,0
"Rotterdam","RF",3876,2.075,1.552,0.016,1.117,1.837,1.861,62.186865267434,47.2815040650407
