"season","n_total","avg_improvement","sd_improvement","min_improvement","max_improvement"
"winter",6484,19.3,13.7,0,33.8
"autumn",8394,16.7,11.5,0,29.9
"spring",8270,15.7,10,0,24.9
"summer",7728,14.7,9.9,0,26.5
