"station_id","LOCATION","NAME","LATITUDE","LONGITUDE","ALTITUDE","sample_dates","n_sample_dates","total_obs","total_T_DRYB","total_T_DEWP","total_U_10","T_mean_sampled"
"277","277_T_a","Lauwersoog",53.411667,6.199167,2.9,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,10.3
"278","278_T_a","Heino",52.434444,6.258889,3.6,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.6
"279","279_T_a","Hoogeveen",52.748889,6.573056,15.8,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.4
"280","280_T_05t","Eelde locatie 05t",53.114333,6.53475,5.2,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.5
"280","280_T_23t","Eelde locatie 23t",53.123611,6.584722,5.2,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.4
"283","283_T_a","Hupsel",52.067778,6.656667,29.1,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.6
"283","283_T_b","Hupsel",52.067778,6.656667,29.1,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,0,0,0,NA
"286","286_T_a","Nieuw Beerta",53.194444,7.149167,-0.2,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2296,2296,2296,9.5
"290","290_T_a","Twenthe locatie A",52.273056,6.890833,34.8,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.6
"310","310_T_a","Vlissingen",51.441389,3.595833,8,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,11
